gene_name,TCGA-35-5375-01A,TCGA-55-A4DF-01A,TCGA-95-8039-01A,TCGA-MP-A4T4-01A,TCGA-62-A471-01A,TCGA-L9-A5IP-01A,TCGA-50-5936-01A,TCGA-49-AARR-01A,TCGA-78-8662-01A,TCGA-05-4430-01A,TCGA-44-7659-01A,TCGA-44-6146-01A,TCGA-L9-A50W-01A,TCGA-75-7025-01A,TCGA-05-4424-01A,TCGA-62-A46P-01A,TCGA-38-4627-01A,TCGA-86-8073-01A,TCGA-69-7765-01A,TCGA-44-5645-01B,TCGA-55-6984-01A,TCGA-69-7764-01A,TCGA-NJ-A4YI-01A,TCGA-86-A4P7-01A,TCGA-55-8620-01A,TCGA-97-8177-01A,TCGA-50-6595-01A,TCGA-55-A492-01A,TCGA-78-7633-01A,TCGA-97-A4LX-01A,TCGA-78-7220-01A,TCGA-53-7624-01A,TCGA-49-AARN-01A,TCGA-62-A46R-01A,TCGA-78-7156-01A,TCGA-50-8457-01A,TCGA-91-8496-01A,TCGA-55-8092-01A,TCGA-75-5122-01A,TCGA-NJ-A4YQ-01A,TCGA-50-5072-01A,TCGA-91-6831-01A,TCGA-91-A4BD-01A,TCGA-69-8255-01A,TCGA-69-8253-01A,TCGA-86-A4D0-01A,TCGA-78-8640-01A,TCGA-97-8174-01A,TCGA-55-6987-01A,TCGA-49-6744-01A,TCGA-55-8096-01A,TCGA-J2-8192-01A,TCGA-44-7671-01A,TCGA-44-2662-01B,TCGA-93-A4JN-01A,TCGA-49-AAR9-01A,TCGA-86-A4P8-01A,TCGA-44-5645-01A,TCGA-78-7158-01A,TCGA-80-5611-01A,TCGA-44-4112-01A,TCGA-71-6725-01A,TCGA-44-2656-01A,TCGA-05-5715-01A,TCGA-64-5815-01A,TCGA-55-7816-01A,TCGA-95-7948-01A,TCGA-05-4432-01A,TCGA-99-8033-01A,TCGA-78-7143-01A,TCGA-73-4668-01A,TCGA-44-5644-01A,TCGA-38-4625-01A,TCGA-91-8499-01A,TCGA-86-6851-01A,TCGA-44-6779-01A,TCGA-78-7537-01A,TCGA-05-4434-01A,TCGA-67-3773-01A,TCGA-55-6983-01A,TCGA-05-5425-01A,TCGA-97-A4M2-01A,TCGA-50-5941-01A,TCGA-78-7539-01A,TCGA-67-3771-01A,TCGA-55-8299-01A,TCGA-05-5429-01A,TCGA-93-A4JO-01A,TCGA-44-A47A-01A,TCGA-44-2662-01A,TCGA-86-A4JF-01A,TCGA-05-4402-01A,TCGA-97-8179-01A,TCGA-55-7914-01A,TCGA-49-4490-01A,TCGA-55-8090-01A,TCGA-MP-A4TC-01A,TCGA-64-1681-01A,TCGA-99-AA5R-01A,TCGA-49-4486-01A,TCGA-91-6847-01A,TCGA-05-4249-01A,TCGA-91-A4BC-01A,TCGA-55-7570-01A,TCGA-50-5049-01A,TCGA-86-8672-01A,TCGA-55-7727-01A,TCGA-86-8674-01A,TCGA-53-A4EZ-01A,TCGA-69-7761-01A,TCGA-50-5942-01A,TCGA-69-A59K-01A,TCGA-05-4245-01A,TCGA-44-2666-01A,TCGA-50-5944-01A,TCGA-50-6592-01A,TCGA-62-8395-01A,TCGA-05-4410-01A,TCGA-55-6975-01A,TCGA-73-4662-01A
EGFR,3.6417,7.5314,44.919,30.9411,6.1338,59.0145,42.3354,27.0096,222.1587,19.8184,74.2942,23.6666,62.3389,60.5304,20.3084,10.1819,36.3967,32.2019,48.8739,125.2471,14.155,35.1211,64.0761,44.7718,1.4906,26.032,225.9149,4.318,19.7896,53.0632,15.7993,789.5993,28.5218,143.8422,17.8819,50.3836,29.991,7.068,22.6282,7.6852,28.3904,39.0707,27.9344,60.3174,10.35,5.0384,3.1421,25.8035,6.7869,31.4831,164.7505,123.5958,23.2397,52.7027,27.6144,10.5562,42.7293,92.7325,39.4384,16.043,50.4015,79.7668,90.2205,28.5579,35.5435,50.6984,76.37,40.3375,48.7572,104.8381,48.3145,138.1686,25.2112,0.6801,32.3703,129.4863,15.5147,39.7616,33.0702,17.8938,21.9201,18.0116,46.2189,65.2683,12.1485,33.9188,11.0199,19.4114,32.2936,42.5144,72.4984,150.6432,24.5861,28.8276,38.2032,63.5469,46.1085,58.178,21.2989,9.0746,721.0563,59.5374,5.1016,1.1476,7.9052,4.0261,49.1783,11.0234,14.7139,15.4361,103.7452,35.2527,1.8049,23.3536,128.1572,21.4533,55.7051,141.3478,26.8827,73.7702
EPHA3,2.2336,0.4789,0.8424,1.3288,0.0967,0.7681,2.1821,1.5922,23.1692,1.8543,2.0018,2.5561,3.4166,6.7854,3.7563,46.0182,8.7891,1.7469,16.9887,20.5907,0.3101,4.7993,0.9108,1.9126,1.161,4.4062,5.1676,0.696,0.7839,2.5939,1.6784,0.4432,3.0443,1.5501,1.182,4.1781,1.7169,1.0709,2.9677,0.718,2.3535,2.3583,0.1191,0.5909,0.3763,0.8271,0.2074,11.2492,0.5991,2.1794,4.7992,3.4591,3.8002,4.0982,7.1837,0.7435,2.155,14.4242,0.9247,0.3144,2.3974,0.8993,20.886,0.9298,7.676,3.5131,0.5079,6.5831,0.2989,1.0502,1.0133,3.3274,1.1359,0.4148,0.8247,1.2117,12.7818,4.249,33.6148,4.7248,2.6245,1.2954,3.2854,0.7142,1.2913,2.7628,5.7975,0.4267,0.5443,0.685,0.6514,1.3811,2.3963,0.4923,2.0988,0.8785,0.7384,5.1351,0.9747,0.162,0.0749,4.0547,1.938,2.402,8.1396,0.9441,2.187,0.3109,1.0812,13.9165,24.0934,0.4559,0.724,13.2518,16.9355,1.0887,5.7293,0.5105,2.8711,3.3925
EPHA5,0.0118,0.0078,0.0142,0.0121,0.0072,0.0,0.0,0.3478,0.0,0.0299,0.0,0.0,0.0058,0.0768,0.0271,0.0,0.0931,0.0579,0.0331,0.0866,0.0,0.0386,0.4598,0.0204,0.0441,0.0135,0.0231,0.0,0.0093,0.0067,0.0,0.0085,0.0339,0.0,0.0279,0.0166,0.0,0.0,0.0,0.0068,0.0722,0.0394,0.0177,0.0401,0.0039,0.0,0.0,0.0301,0.0058,0.0423,0.0798,0.0147,0.0209,0.5989,0.0066,0.0166,0.0,0.0129,126.2405,0.0401,1.063,0.0,0.0,0.0598,0.0,0.8851,0.0115,0.0851,0.0047,0.0565,0.0103,0.0,0.0036,0.0,0.0,0.0,0.0872,0.0289,0.0672,0.0049,0.0,0.0244,0.0188,0.0051,0.0094,0.02,0.0,0.0,0.1729,0.0,0.0316,0.0208,0.0,0.0293,0.0238,0.0395,0.2083,0.0158,0.0,0.0035,0.0,0.0,0.0,0.0,0.0852,0.0,0.0,0.0,0.0,0.0,0.7935,0.0061,0.0207,0.3283,0.0197,0.0505,0.0425,0.0207,0.0,0.0151
EPHA6,0.0368,0.1343,0.0222,0.0756,0.0337,0.0979,0.0207,0.1246,0.2365,0.4204,0.0722,0.03,0.0091,0.2025,0.8334,0.015,0.0856,0.1069,0.0904,0.2256,0.722,0.0151,0.2515,0.0,0.1103,0.0353,0.1445,0.0189,0.0725,0.0733,0.014,0.4104,0.1945,0.0,0.0145,0.0953,0.0,0.6373,0.0,0.6238,0.1693,0.3852,0.0,0.0917,0.0121,0.2555,0.0893,0.0134,0.1498,0.011,0.0187,0.0917,0.0,1.4762,0.0,1.0234,0.046,0.0201,0.011,0.767,1.211,0.0,0.0088,0.0935,0.0925,0.1991,2.232,0.0507,0.9594,0.0,0.0214,0.3935,0.4034,0.6591,0.038,0.0218,0.0136,0.0283,0.1225,0.0685,0.0,0.0191,0.0147,0.0,0.2495,0.146,0.0,0.0,0.0,0.0087,0.0493,0.0489,0.0097,0.7549,0.1302,0.0206,0.1568,0.0,0.0208,0.0109,0.0196,0.099,0.2128,1.2502,0.0285,0.0647,0.9469,0.0,0.0,0.0213,0.3136,2.8597,0.5538,0.5047,0.0,1.3411,0.0398,0.0162,0.0392,0.0118
EPHB1,0.0665,1.7885,0.3613,0.2478,0.2438,0.6375,1.1813,1.2081,0.1222,2.5693,0.6199,0.1493,0.3543,0.9967,5.4919,0.2976,3.7285,0.5132,1.1912,0.6529,1.0392,0.218,10.0062,0.4616,30.1159,0.6825,4.3129,0.3247,0.3279,0.8615,0.1396,0.1556,0.8633,0.1683,0.0526,0.8698,0.1688,0.2336,0.2953,0.1912,0.347,0.5712,0.1751,0.0873,5.0234,3.8115,0.3921,1.0822,0.2872,0.9554,0.6819,0.4977,3.1422,1.9532,0.3251,0.1523,0.6547,0.4181,1.3706,0.1981,1.6381,0.2206,0.7306,0.7099,0.9028,0.5939,0.6835,1.0361,0.4206,4.6554,0.1887,0.8112,0.2004,3.8579,0.1716,0.6122,0.5733,1.3081,0.1582,2.6012,0.5423,0.4398,0.6636,0.1234,0.743,0.7354,0.4477,0.2482,5.4664,0.7186,0.2499,0.4908,0.237,0.1861,0.6053,0.8861,0.9815,0.6105,0.3384,0.0247,32.492,1.0578,0.3513,0.2162,0.4814,0.2633,0.1671,10.0178,9.1409,0.2987,0.7475,4.0508,0.8972,0.7682,0.5434,0.4076,0.9126,0.4679,2.7848,0.3575
EPHB6,0.3693,1.659,3.4712,3.2937,0.9159,1.4578,1.9111,12.9767,0.2794,3.8263,3.9858,6.8286,0.7966,7.0785,2.6034,0.7423,4.8517,2.7408,1.5413,3.8121,3.5687,1.0681,2.6532,4.687,1.2384,2.917,20.1512,2.5008,0.754,7.3352,0.7795,3.2846,5.9325,1.7852,1.0133,5.57,2.8839,1.7025,3.1993,8.8186,2.3468,1.0195,2.8601,0.8267,1.6445,0.743,0.9043,4.6631,2.2412,3.264,2.4447,5.808,2.0529,1.1059,9.9165,0.7806,9.4924,9.656,0.7787,10.6143,0.7985,0.4409,0.6849,1.4356,2.7525,70.1419,6.0924,1.9299,1.0132,2.4601,1.4095,0.2046,1.564,0.7992,2.8189,3.9737,1.5465,4.4,0.9718,4.1182,1.5529,5.4985,3.4682,2.6179,1.8549,4.0776,3.3887,5.1081,2.1512,2.0842,0.6413,2.0905,1.5028,1.6485,6.6565,5.6032,12.1404,1.4689,8.8445,1.0519,4.8819,2.1691,2.5029,1.3614,3.0104,1.7969,0.8731,1.7603,0.7471,3.3999,6.7533,10.8788,0.3599,1.6199,3.1494,2.2634,2.5732,2.1782,7.3008,2.8027
ERBB4,0.0178,1.1273,0.7047,0.2284,0.2227,0.0142,0.1604,4.6416,0.0572,0.5946,3.0784,1.7779,0.4581,1.874,0.7784,0.2531,0.4053,0.5726,0.2872,9.6309,0.2137,0.4079,0.1824,0.9562,0.38,1.0571,0.1659,0.3106,0.5574,0.3138,1.4521,0.0256,0.3931,0.3017,11.6155,2.0192,0.8121,0.0666,0.25,0.1227,0.7256,0.365,1.09,0.0677,0.6026,0.0902,0.222,1.1798,0.4673,0.4842,0.5815,2.1139,0.7689,2.0362,0.9038,0.0438,2.2891,4.5338,3.6744,0.0605,1.4429,0.0382,0.8152,14.0963,0.1877,2.5691,0.7047,0.4713,0.3443,1.4701,0.0698,0.0228,0.2115,4.1249,0.0052,0.0,0.4647,0.8878,1.785,0.8351,0.1912,1.3461,0.7663,0.0194,0.0709,1.1593,0.1485,0.6358,0.7976,0.0338,0.4389,0.5274,0.2253,0.2433,0.755,0.2452,0.1691,0.792,0.9499,1.6053,0.1846,1.6618,0.0089,0.2522,0.0735,0.0156,1.362,0.0458,0.0115,0.0721,22.4077,0.2442,3.1388,7.7416,0.499,0.0599,0.6034,0.3987,0.1422,0.4535
ERICH3,0.0,0.1566,0.9442,3.031,0.0561,0.1256,0.0296,62.4817,0.0241,3.9118,12.6525,0.107,0.0844,15.424,0.151,0.0533,1.0793,1.0143,0.1473,5.8377,2.5099,0.3114,0.0,1.8041,1.1796,0.1257,1.7771,0.0067,0.0052,0.9104,0.02,0.0094,1.739,2.0993,0.0311,1.3836,0.0819,0.045,0.0194,0.0,0.0965,0.022,3.3719,0.0344,0.2588,0.1751,0.0182,0.0911,0.2782,0.0628,0.04,0.4305,5.4247,1.0264,0.1318,0.0,2.4823,6.4198,0.0705,0.1896,0.087,0.1125,0.2379,0.1066,0.0,0.1632,0.0513,0.0135,0.0311,1.4121,0.0153,2.5354,0.0648,1.0013,0.0464,0.0311,0.0389,1.9173,0.0374,4.6813,0.1455,4.3162,0.5544,0.1946,0.1778,0.052,1.0586,6.8885,0.0203,0.0498,0.0703,1.8298,0.2699,0.2201,0.3313,1.7536,0.0,9.7003,0.0296,0.0234,3.4824,1.7896,0.033,0.0387,0.4472,0.0,0.5926,0.029,0.6817,0.1519,9.0217,0.7745,3.2893,0.1439,1.5046,0.1124,0.2082,4.3686,0.0,0.5257
EYS,0.0407,0.459,0.1118,0.0279,1.6646,0.3826,0.8713,0.1252,0.0498,0.0316,0.359,0.1936,0.2149,0.0884,0.3019,0.1158,0.1009,0.0849,0.1666,1.5467,0.0326,0.6552,0.0993,0.1254,0.3202,0.0338,0.0599,0.4632,0.9408,0.054,0.2845,0.0634,0.2932,0.0807,1.5322,0.3641,0.1429,0.2899,0.0802,0.2221,0.4783,0.4429,0.0612,3.4183,0.1851,0.5323,0.2539,0.4213,0.0803,0.1055,0.1011,0.1268,1.422,1.9902,0.1022,0.1194,0.1059,0.2186,0.0891,0.15,0.0899,0.045,0.1942,0.1309,0.0886,0.1834,0.0597,0.0957,0.6616,0.3116,0.0611,0.0464,0.1047,0.5241,0.0659,0.0644,0.598,0.0854,0.0258,0.143,0.0611,0.2636,0.0379,0.0888,0.2271,0.0769,0.0755,0.0759,0.1992,0.0676,0.1709,0.114,0.6155,0.0969,0.1028,0.1717,0.0533,0.0425,0.0575,0.6099,0.1119,0.0995,0.0886,0.0881,0.0456,0.0954,1.2426,0.4043,0.032,0.0943,0.1839,0.0316,0.6293,0.2325,0.0852,0.0831,0.6363,0.0417,0.1229,0.1066
F5,0.469,2.7783,1.4803,3.8376,7.632,0.8874,8.8528,1.6265,0.1814,5.9727,0.557,41.6061,0.6727,2.5971,3.5175,1.1145,1.8548,1.0601,1.8727,5.6188,24.4582,2.9227,1.1938,1.7419,14.0155,3.0824,0.667,0.5962,0.1509,4.6873,30.5267,0.5776,9.1736,1.3155,0.1171,0.9191,0.2409,2.7476,0.8859,1.0219,23.5065,5.3368,0.2507,2.261,0.6987,2.6118,0.8476,1.3133,2.6866,6.4127,110.1354,3.5305,1.5003,30.0376,7.3301,44.7714,0.7021,3.6774,1.2092,1.3237,3.4149,0.0674,1.5328,18.9212,4.9767,46.7233,0.6886,2.435,3.3173,1.1012,2.3054,32.688,0.4805,1.5134,1.8635,0.9089,1.5879,3.8919,0.4699,2.3294,6.4498,0.6401,4.4432,1.3795,1.5561,2.5406,31.7886,2.403,6.951,9.6134,1.0731,3.2024,0.7495,0.76,1.6475,0.7682,19.2588,2.2161,1.2004,0.1137,0.1709,2.0297,4.7875,26.0485,2.9036,1.0208,3.7358,0.4091,0.4138,56.9169,1.1577,0.7358,3.2526,1.451,0.6206,15.4079,1.7382,1.7477,5.2538,1.0655
F8,2.1538,7.2499,8.3422,1.6986,1.071,2.8791,4.6561,9.2982,1.1542,6.2452,4.3096,5.5172,3.9503,7.9228,7.3731,3.9943,6.6223,7.1424,6.8608,14.5635,2.276,6.6273,2.7648,10.7306,1.5998,5.5576,2.3552,4.672,10.2783,7.7496,6.1098,4.7665,4.4977,2.5653,9.4494,7.201,6.0272,2.9506,6.087,1.706,4.7051,3.3004,2.0892,1.5325,6.1442,1.6081,2.0876,10.9345,5.4933,9.8535,6.1343,10.9447,6.2631,4.9824,4.0352,2.3804,19.6624,13.329,3.0404,5.9768,4.5117,3.1609,7.4341,4.0898,3.886,9.4016,5.4985,4.519,1.9031,6.3769,2.7372,2.8019,5.5529,3.7747,4.4714,4.6654,3.0692,5.8121,5.4167,5.8038,3.4514,3.8444,3.5399,4.79,3.8758,6.8857,1.2941,6.8832,4.1823,2.7833,4.1824,3.7495,8.3858,4.6104,3.0004,6.2928,2.7633,9.6356,12.5201,6.5896,0.8884,10.9714,0.9934,1.9476,3.4286,1.2914,6.6441,2.1311,0.6627,2.5399,8.5946,7.7725,1.1501,6.7332,5.477,5.0992,7.2142,3.399,2.681,6.8246
FAM135B,0.0164,0.0,0.0132,0.0127,0.0352,0.0044,0.1763,0.0051,0.0076,0.0766,0.0323,0.0,0.0693,0.0235,0.1074,0.0,0.0306,0.2907,0.0058,0.0404,0.1252,0.5594,0.0161,0.0095,0.3146,0.0379,0.0242,0.0,0.0032,0.0422,0.0063,0.0,0.0395,0.0392,0.0,0.0426,0.0193,0.0026,0.0243,0.0284,0.0101,0.0069,0.0062,0.0022,0.0108,1.0374,0.0,0.0211,0.0041,0.0394,0.1533,0.1094,0.0182,0.7247,0.0046,0.0,0.0154,0.0809,0.9533,0.021,0.0168,0.0096,0.0157,0.092,0.1737,0.0089,0.0322,0.1133,0.013,0.0508,0.0024,0.0,0.0102,0.0543,0.0267,0.0,0.0152,0.0758,0.0157,0.034,0.0628,0.0427,0.0263,0.0215,0.0197,0.0233,0.0076,0.0153,0.2227,0.0469,0.0044,0.17,0.0,0.0307,0.0665,0.0123,0.054,0.0,0.0093,0.0049,0.0044,0.0845,0.0083,0.0146,0.0255,0.0,0.0207,0.0,0.0035,0.062,0.3571,0.0085,0.2993,1.8776,0.0345,0.0101,0.2198,0.0072,0.0,0.0132
FAM47A,0.0,0.0,0.0,0.0,0.0829,0.0,0.0,0.0,0.0,0.0383,0.0,0.0,0.0,0.0,0.1389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0379,0.0,0.0,0.0,0.0,0.0627,0.0,0.0,0.0,0.0153,0.0,0.0,0.6196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0554,0.0,0.0,0.0,0.0
FAM47B,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1179,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227,0.0,0.1068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM47C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216,0.0,0.0148,0.0,0.0,0.0,0.0143,0.0,0.0,0.0,0.0471,0.0,0.043,0.0,0.1724,0.0,0.0,0.0789,0.0,0.0,0.0541,0.0277,0.02,0.0,0.0252,0.0337,0.0,0.1386,0.0,0.0,0.0,0.0,0.0403,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.0437,0.0,0.0687,0.0,0.0247,0.0438,0.0192,0.0209,0.0,0.0179,0.0,0.0,0.0356,0.0,0.0,0.0,0.0241,0.0,0.0,0.0,0.0,0.0108,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0727,0.0,0.0153,0.0,0.0,0.0,0.0,0.2441,0.0,0.0,0.0207,0.0,0.0436,0.0,0.0,0.069,0.0157,0.0198,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0881,0.0,0.0,0.0,0.0,0.0182,0.0,0.016,0.0588,0.0,0.0507,0.0,0.0,0.0
FAT1,3.1195,2.276,23.8457,32.252,84.4193,21.8167,69.7406,24.7287,4.9494,13.1209,14.4622,175.9901,41.3287,17.5079,62.7076,21.358,34.3074,51.8499,35.5115,98.7636,140.7098,42.4024,36.7312,23.2476,2.4742,13.1571,80.9622,2.6476,33.7431,21.0843,132.5562,17.8098,27.1772,13.115,16.4504,18.0055,5.9675,20.7305,13.2169,2.4809,72.4099,54.6855,2.5301,13.3562,27.8889,28.8619,2.1047,15.8589,13.8348,18.9959,34.9978,55.5869,33.8435,86.7509,31.8149,68.3727,15.181,105.3459,24.793,5.5304,38.5742,26.2967,93.9704,31.8982,38.2354,63.081,58.2291,47.7327,69.0778,33.3984,4.3553,27.5264,39.0855,31.7424,4.1887,65.1613,20.1706,36.2623,6.1701,40.6192,26.6123,13.8204,25.5201,16.6801,26.8538,40.7506,53.6683,13.8425,29.8313,48.7068,31.6382,25.1815,12.3028,14.8697,18.4011,35.0092,37.406,19.6664,9.4799,3.794,79.0382,35.1336,12.7871,25.5802,11.2437,36.0459,20.913,15.3748,32.4848,95.1581,37.9306,84.6094,15.7214,71.6843,46.6146,9.2793,38.4602,3.6628,56.1093,24.0154
FAT2,0.374,0.185,1.0377,1.6809,2.9515,0.3645,0.4308,5.8561,0.0292,0.7581,0.609,0.0845,0.0789,2.8006,0.0856,0.0065,1.2477,0.3987,0.2963,1.9042,0.1212,0.0848,0.2021,0.244,0.191,0.1679,7.5926,0.0164,0.0188,2.696,0.0729,0.0859,1.0253,0.1279,0.0315,0.3038,0.0186,0.0795,0.2768,0.7367,0.1807,0.06,0.1557,0.0522,0.0602,0.1021,0.1159,0.1659,0.3476,0.2858,1.8638,2.3161,0.4837,4.0667,0.2001,0.0112,0.6715,0.4046,0.0856,0.1287,0.0731,0.0217,5.2683,0.0566,24.182,1.107,4.5724,0.0493,0.0786,6.1769,0.1158,0.1635,0.0443,0.1051,1.0936,0.1796,0.0443,3.8276,0.0833,0.6423,0.0276,0.9204,1.3403,0.2328,0.1524,0.1083,0.0591,1.5692,0.4617,3.0387,0.0982,1.4259,0.479,0.0594,1.3439,0.347,0.7307,0.3207,0.1935,0.0307,1.2416,0.0935,0.0881,0.0753,0.0535,0.07,0.3598,0.0703,0.041,0.2168,0.3578,7.5244,0.1358,0.2075,0.2134,0.0975,0.1782,0.7489,0.0594,0.1507
FAT3,0.018,1.008,0.0459,0.0802,0.231,0.0224,0.0947,0.6688,0.7386,0.2032,0.0294,3.5516,0.0208,0.5726,0.5992,0.0342,0.2875,0.5154,0.2276,7.5911,0.0529,0.1426,0.1466,0.8017,0.297,0.0414,0.1474,0.074,0.1183,0.1093,0.4993,0.0043,0.1038,0.0286,0.2135,0.328,0.2436,0.0225,0.0044,0.0138,0.1399,0.4576,0.0451,0.011,0.0592,0.0257,0.0583,1.402,0.1259,0.4382,0.183,0.726,0.1278,1.5272,0.2313,0.0465,2.0629,2.5488,0.0251,0.0511,0.0643,0.007,1.1005,0.0549,0.1569,1.0718,14.2691,0.1116,0.1636,0.1935,0.1728,0.0051,0.0463,4.3353,0.0212,0.1354,0.0289,0.1475,0.0457,0.2285,0.0333,0.7158,0.1437,0.0314,0.1628,0.1497,0.0446,0.4106,0.0279,0.0541,0.0322,0.1116,0.3454,0.0858,0.0849,0.0649,0.976,0.1048,0.6718,0.0196,0.0256,0.0793,0.0574,0.0319,0.0962,0.1478,0.1281,0.0088,0.0361,0.0556,0.4279,0.0778,3.7001,0.9332,0.3319,2.2394,0.1647,0.1214,0.2433,0.129
FAT4,0.9735,0.7404,1.9264,1.831,0.1496,0.4461,1.5151,4.3877,1.8536,2.2798,1.9585,7.589,5.1747,6.2992,3.2381,0.5929,6.3543,5.3776,3.7481,57.1117,0.8804,2.2506,2.6198,4.5365,0.3631,2.4705,4.1526,0.4193,1.2249,2.8399,1.3204,0.6031,1.3911,1.3862,1.3416,4.6706,1.5417,1.165,1.7187,0.7255,1.7627,1.1212,0.4624,0.4026,1.3086,0.5958,0.5207,13.5185,1.5222,2.9823,2.4187,5.2578,2.9101,14.2276,6.0017,0.1609,8.4251,18.3857,2.6611,0.5417,1.8964,1.0933,12.013,1.5869,3.1284,10.1598,2.1003,0.7997,1.2319,2.3927,1.679,0.3073,0.7025,5.5049,1.5398,1.7055,1.2664,1.9508,4.7004,2.1837,0.8946,2.4317,2.4617,1.3465,0.829,5.5085,1.01,3.9923,1.5905,1.2038,1.4947,2.1257,2.223,11.9861,1.331,1.7454,6.5678,2.2528,4.2688,0.2068,0.2317,3.3755,0.6732,0.7974,1.319,0.7514,2.2612,0.2644,0.1777,3.7012,12.3752,1.7735,0.9979,16.0033,14.6899,1.1833,4.7886,1.7317,3.1044,3.2502
FBN2,0.2013,0.709,0.1162,0.1979,0.0321,5.7423,1.4904,0.6899,0.0241,0.7448,0.2576,0.05,0.1648,0.2748,0.827,0.057,4.7235,0.2036,1.1373,0.8055,0.1052,0.1147,0.077,0.0861,0.1182,0.1914,27.1406,0.0585,0.1622,0.9368,0.4142,1.2665,0.1936,0.3648,0.1107,0.4084,0.328,0.1558,1.8135,0.0604,1.2731,0.7627,0.1712,0.0942,0.2938,0.0889,0.2854,0.3616,0.918,0.0576,0.3263,2.3798,0.3494,2.6389,0.2738,10.0688,0.1149,0.756,0.0471,1.1994,0.6568,0.1503,0.2257,0.2313,0.6072,1.4591,0.3555,0.1868,0.0415,0.042,0.1553,0.1349,0.2731,0.1816,1.0401,1.1539,3.2059,9.8636,0.0666,1.0215,0.7289,0.1135,0.2934,0.4853,0.2375,0.5459,0.2275,0.9745,0.2234,0.956,0.0658,0.2532,0.0508,0.1252,0.5576,0.8807,7.6004,0.047,0.5592,0.0598,8.1698,0.2741,0.3038,1.1072,0.4752,0.077,0.0879,0.2901,0.1016,0.279,0.1086,0.1543,0.8677,0.1561,0.418,0.472,0.4109,0.1386,0.2428,0.1854
FBXL7,1.6864,1.9086,5.2009,6.0798,1.7272,3.2765,6.9654,14.3939,2.0075,8.5989,13.1446,1.1636,3.0604,11.9536,12.0071,3.0726,22.6566,7.6196,8.6268,10.4644,2.3984,4.574,2.9011,9.2055,10.5298,4.9118,30.0632,2.6124,6.118,6.4651,3.9713,1.8471,4.7737,2.0369,4.7136,6.8741,2.1146,3.6193,2.1973,2.6223,5.8174,7.3054,1.0722,1.2905,3.2211,3.0592,1.8292,10.9793,3.3182,9.8111,9.0579,16.5234,7.2716,10.2786,7.3791,3.1964,12.7254,4.2726,2.1995,1.0919,8.8766,2.0489,1.7019,8.8143,12.0147,25.1879,41.6788,7.2138,4.2439,3.2931,5.1419,2.5621,2.4441,2.4199,2.704,6.9406,5.7951,4.8184,2.7582,7.954,3.1982,4.7063,5.6505,2.0121,4.0375,15.5176,2.5143,4.8022,8.9126,5.8328,3.5571,6.7805,6.8864,2.7038,5.3087,3.6034,12.2152,5.8075,10.826,0.6421,2.3275,3.7901,6.8598,3.6231,5.7113,5.748,3.3116,2.5196,1.2356,4.3509,5.9479,15.146,2.3311,0.8802,21.3987,5.5175,11.4261,3.4264,16.802,4.2004
