model_name,status,accuracy,balanced_accuracy,precision,recall,f1_score,mcc,roc_auc,pr_auc,tn,fp,fn,tp,evaluation_strategy,n_genes,positive_genes,negative_genes,warning
LogisticRegressionElasticNet,OK,0.6664582682088153,0.6312910284463895,0.49970291146761736,0.5257893091591123,0.5124143183549125,0.2593930599936027,0.6864798373514855,0.553684706322657,4714,1684,1517,1682,stratified_5_fold_cross_validation,9597,3199,6398,
RandomForestClassifier,OK,0.6914660831509847,0.5926070647077212,0.5718599033816425,0.2960300093779306,0.3901132852729145,0.23106575630688775,0.6675085583266339,0.5208553733089483,5689,709,2252,947,stratified_5_fold_cross_validation,9597,3199,6398,
XGBoost,OK,0.6737522142336146,0.583619881212879,0.5175619834710744,0.31322288215067207,0.3902629016553067,0.1964596528033701,0.6450186009792643,0.49476777272944455,5464,934,2197,1002,stratified_5_fold_cross_validation,9597,3199,6398,
