experiment,experiment_label,negative_strategy,feature_set,model_name,feature_name,importance,abs_importance,rank
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,LogisticRegressionElasticNet,mutated_samples,0.5954512473195418,0.5954512473195418,6
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,LogisticRegressionElasticNet,expression_detection_rate,0.1565114801817898,0.1565114801817898,7
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,LogisticRegressionElasticNet,expression_detected_samples,0.15651148018172903,0.15651148018172903,8
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,LogisticRegressionElasticNet,missense_count,0.14481394540633435,0.14481394540633435,9
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,LogisticRegressionElasticNet,max_tumor_expression,0.12343663374588182,0.12343663374588182,10
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,LogisticRegressionElasticNet,nonsense_count,0.05541966001657243,0.05541966001657243,11
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,LogisticRegressionElasticNet,frameshift_count,0.04086261241848573,0.04086261241848573,12
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,RandomForestClassifier,max_tumor_expression,0.17522870484696382,0.17522870484696382,1
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,RandomForestClassifier,mean_tumor_expression,0.16642044618227442,0.16642044618227442,2
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,RandomForestClassifier,median_tumor_expression,0.15136606652752554,0.15136606652752554,3
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,RandomForestClassifier,nonsynonymous_mutation_count,0.07196072567521582,0.07196072567521582,4
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,RandomForestClassifier,missense_count,0.06847620195914723,0.06847620195914723,5
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,RandomForestClassifier,mutated_patients,0.06710242647291832,0.06710242647291832,6
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,RandomForestClassifier,mutation_count,0.06453741099037687,0.06453741099037687,7
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,RandomForestClassifier,mutated_samples,0.06337952734267524,0.06337952734267524,8
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,RandomForestClassifier,expression_detected_samples,0.058878394918594285,0.058878394918594285,9
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,RandomForestClassifier,expression_detection_rate,0.05857027809178866,0.05857027809178866,10
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,RandomForestClassifier,nonsense_count,0.031252580331519335,0.031252580331519335,11
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,RandomForestClassifier,frameshift_count,0.022827236661000328,0.022827236661000328,12
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,XGBoost,mutated_patients,0.21092037856578827,0.21092037856578827,1
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,XGBoost,nonsynonymous_mutation_count,0.11973530054092407,0.11973530054092407,2
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,XGBoost,mutated_samples,0.09632483869791031,0.09632483869791031,3
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,XGBoost,expression_detected_samples,0.08702502399682999,0.08702502399682999,4
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,XGBoost,max_tumor_expression,0.08440662175416946,0.08440662175416946,5
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,XGBoost,mean_tumor_expression,0.08127817511558533,0.08127817511558533,6
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,XGBoost,median_tumor_expression,0.07528014481067657,0.07528014481067657,7
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,XGBoost,missense_count,0.07289908081293106,0.07289908081293106,8
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,XGBoost,mutation_count,0.060208264738321304,0.060208264738321304,9
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,XGBoost,nonsense_count,0.05674363672733307,0.05674363672733307,10
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,XGBoost,frameshift_count,0.05517857149243355,0.05517857149243355,11
B_clean_negatives_raw_features,B) clean_negatives + raw_features,clean_negatives,raw_features,XGBoost,expression_detection_rate,0.0,0.0,12
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,mutation_count,-1.6274727419737316,1.6274727419737316,1
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,mean_tumor_expression,-1.1328712254733357,1.1328712254733357,2
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,mutated_samples,0.9565269942091361,0.9565269942091361,3
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,median_tumor_expression,0.8831863414536744,0.8831863414536744,4
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,mutated_patients,0.668969654589727,0.668969654589727,5
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,nonsynonymous_mutation_count,0.6548909727270559,0.6548909727270559,6
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,expression_detection_rate,0.15040056715780634,0.15040056715780634,7
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,expression_detected_samples,0.150400567157798,0.150400567157798,8
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,normal_lung_tpm,0.12671422749704767,0.12671422749704767,9
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,nonsense_count,0.10107843420332771,0.10107843420332771,10
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,max_tumor_expression,0.09876204337595063,0.09876204337595063,11
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,frameshift_count,0.07053390108738544,0.07053390108738544,12
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,missense_count,0.020870422697836094,0.020870422697836094,13
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,RandomForestClassifier,max_tumor_expression,0.14166618044602325,0.14166618044602325,1
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,RandomForestClassifier,mean_tumor_expression,0.13507425322870464,0.13507425322870464,2
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,RandomForestClassifier,normal_lung_tpm,0.12992824194065644,0.12992824194065644,3
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,RandomForestClassifier,median_tumor_expression,0.1217611541856781,0.1217611541856781,4
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,RandomForestClassifier,nonsynonymous_mutation_count,0.06750645648388974,0.06750645648388974,5
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,RandomForestClassifier,mutation_count,0.06347917177801447,0.06347917177801447,6
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,RandomForestClassifier,mutated_patients,0.062176140819811515,0.062176140819811515,7
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,RandomForestClassifier,mutated_samples,0.06149033861577279,0.06149033861577279,8
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,RandomForestClassifier,missense_count,0.06130130623858475,0.06130130623858475,9
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,RandomForestClassifier,expression_detected_samples,0.05278609059267066,0.05278609059267066,10
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,RandomForestClassifier,expression_detection_rate,0.05190470361980465,0.05190470361980465,11
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,RandomForestClassifier,nonsense_count,0.02973205203484168,0.02973205203484168,12
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,RandomForestClassifier,frameshift_count,0.0211939100155472,0.0211939100155472,13
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,XGBoost,mutated_patients,0.16163456439971924,0.16163456439971924,1
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,XGBoost,mutated_samples,0.145319864153862,0.145319864153862,2
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,XGBoost,nonsynonymous_mutation_count,0.111683189868927,0.111683189868927,3
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,XGBoost,mean_tumor_expression,0.07913156598806381,0.07913156598806381,4
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,XGBoost,max_tumor_expression,0.06975313276052475,0.06975313276052475,5
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,XGBoost,nonsense_count,0.0676654577255249,0.0676654577255249,6
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,XGBoost,expression_detected_samples,0.06644784659147263,0.06644784659147263,7
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,XGBoost,missense_count,0.06397420167922974,0.06397420167922974,8
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,XGBoost,median_tumor_expression,0.06354193389415741,0.06354193389415741,9
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,XGBoost,normal_lung_tpm,0.06106380373239517,0.06106380373239517,10
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,XGBoost,frameshift_count,0.05563247576355934,0.05563247576355934,11
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,XGBoost,mutation_count,0.05415203794836998,0.05415203794836998,12
C_random_negatives_raw_plus_safety_raw,C) random_negatives + raw_plus_safety_raw,random_negatives,raw_plus_safety_raw,XGBoost,expression_detection_rate,0.0,0.0,13
D_clean_negatives_raw_plus_safety_raw,D) clean_negatives + raw_plus_safety_raw,clean_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,mutation_count,-1.2862952700908274,1.2862952700908274,1
D_clean_negatives_raw_plus_safety_raw,D) clean_negatives + raw_plus_safety_raw,clean_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,mean_tumor_expression,-1.1357146407287841,1.1357146407287841,2
D_clean_negatives_raw_plus_safety_raw,D) clean_negatives + raw_plus_safety_raw,clean_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,median_tumor_expression,0.9174630378875022,0.9174630378875022,3
D_clean_negatives_raw_plus_safety_raw,D) clean_negatives + raw_plus_safety_raw,clean_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,nonsynonymous_mutation_count,0.7152565685718121,0.7152565685718121,4
D_clean_negatives_raw_plus_safety_raw,D) clean_negatives + raw_plus_safety_raw,clean_negatives,raw_plus_safety_raw,LogisticRegressionElasticNet,mutated_patients,0.6727113036201207,0.6727113036201207,5
