feature_set,model,model_name,status,accuracy,balanced_accuracy,precision,recall,f1_score,mcc,roc_auc,pr_auc,tn,fp,fn,tp,evaluation_strategy,n_labeled_genes,positive_genes,negative_genes,warning
base_features,LogisticRegressionElasticNet,LogisticRegressionElasticNet,OK,0.8192783721418083,0.7853209565764632,0.7518172377985463,0.6834487098804279,0.7160046151310367,0.5853441659934795,0.8415372698789388,0.8210164194418317,5639,717,1006,2172,stratified_5_fold_cv,9534,3178,6356,
base_features,RandomForestClassifier,RandomForestClassifier,OK,0.8571428571428571,0.8005821271239774,0.9138559708295351,0.6308999370673379,0.7464631422189129,0.6732799759356,0.8522970372142337,0.8383603651565434,6167,189,1173,2005,stratified_5_fold_cv,9534,3178,6356,
base_features,XGBoost,XGBoost,OK,0.8408852527795259,0.8008967904342355,0.8113985751781028,0.6809314033983638,0.7404619332763045,0.6320063038614645,0.8503807148817726,0.8388851800529935,5853,503,1014,2164,stratified_5_fold_cv,9534,3178,6356,
knowledge_augmented,LogisticRegressionElasticNet,LogisticRegressionElasticNet,OK,0.8205370253828403,0.7862649465072373,0.7549530761209593,0.6834487098804279,0.7174236168455822,0.5879736292850247,0.8412796380560026,0.8210316748798325,5651,705,1006,2172,stratified_5_fold_cv,9534,3178,6356,
knowledge_augmented,RandomForestClassifier,RandomForestClassifier,OK,0.8568281938325991,0.8009754562617999,0.9096249435155896,0.6334172435494021,0.7468002225932109,0.6721312028845219,0.8515702818028762,0.8380053764914598,6156,200,1165,2013,stratified_5_fold_cv,9534,3178,6356,
knowledge_augmented,XGBoost,XGBoost,OK,0.84235368156073,0.801604782882316,0.8168747635262958,0.6793580868470737,0.7417969421061673,0.6352539939098117,0.8479617035542895,0.8374683533358963,5872,484,1019,2159,stratified_5_fold_cv,9534,3178,6356,
