label_mode,model_name,status,accuracy,balanced_accuracy,precision,recall,f1_score,mcc,roc_auc,pr_auc,tn,fp,fn,tp,evaluation_strategy,n_genes,positive_genes,negative_genes,warning
any_source,LogisticRegressionElasticNet,OK,0.6719923918212078,0.6368758915834523,0.5076294277929155,0.5315263908701855,0.5193031358885017,0.2707323908419024,0.6865847647847684,0.5464998265527885,5203,1807,1642,1863,stratified_5_fold_cross_validation,10515,3505,7010,
any_source,RandomForestClassifier,OK,0.6906324298621017,0.5936519258202568,0.567379679144385,0.30271041369472185,0.3947906976744186,0.2309119592352378,0.6614253735747383,0.5127604069472003,6201,809,2444,1061,stratified_5_fold_cross_validation,10515,3505,7010,
any_source,XGBoost,OK,0.6815977175463623,0.5927246790299572,0.5368717707844058,0.3261055634807418,0.4057507987220447,0.21755200727197346,0.6539323892299771,0.5044273809142203,6024,986,2362,1143,stratified_5_fold_cross_validation,10515,3505,7010,
high_confidence,LogisticRegressionElasticNet,OK,0.6944444444444444,0.6899801587301588,0.5328125,0.6765873015873016,0.5961538461538461,0.36252298448170556,0.7600111803980851,0.6229372771278426,709,299,163,341,stratified_5_fold_cross_validation,1512,504,1008,
high_confidence,RandomForestClassifier,OK,0.7347883597883598,0.6636904761904762,0.6467236467236467,0.4503968253968254,0.5309941520467836,0.3655352583389095,0.7490945452254977,0.624683169093729,884,124,277,227,stratified_5_fold_cross_validation,1512,504,1008,
high_confidence,XGBoost,OK,0.703042328042328,0.6463293650793651,0.5647058823529412,0.47619047619047616,0.5166846071044133,0.30690063080090746,0.7171989166036785,0.585392428271004,823,185,264,240,stratified_5_fold_cross_validation,1512,504,1008,
